,index,building,time,device_count,day_name,month,day,year,timestamp,traffic_diff,index_hour
0,19,UREC,00:00:01,0,Monday,9,27,2021,2021-09-27 00:00:01,0.0,0
1,26279,UREC,01:00:04,251,Monday,9,27,2021,2021-09-27 01:00:04,251.0,1
2,75695,UREC,02:00:19,403,Monday,9,27,2021,2021-09-27 02:00:19,152.0,2
3,117240,UREC,03:00:12,506,Monday,9,27,2021,2021-09-27 03:00:12,103.0,3
4,156515,UREC,04:00:09,573,Monday,9,27,2021,2021-09-27 04:00:09,67.0,4
5,195824,UREC,05:00:04,680,Monday,9,27,2021,2021-09-27 05:00:04,107.0,5
6,249534,UREC,06:00:00,1172,Monday,9,27,2021,2021-09-27 06:00:00,492.0,6
7,332798,UREC,07:00:02,3696,Monday,9,27,2021,2021-09-27 07:00:02,2524.0,7
8,574467,UREC,08:00:01,8316,Monday,9,27,2021,2021-09-27 08:00:01,4620.0,8
9,981453,UREC,09:00:00,14573,Monday,9,27,2021,2021-09-27 09:00:00,6257.0,9
10,1539681,UREC,10:00:00,22230,Monday,9,27,2021,2021-09-27 10:00:00,7657.0,10
11,2180861,UREC,11:00:00,30211,Monday,9,27,2021,2021-09-27 11:00:00,7981.0,11
12,2989937,UREC,12:00:00,40627,Monday,9,27,2021,2021-09-27 12:00:00,10416.0,12
13,3966059,UREC,13:00:00,52366,Monday,9,27,2021,2021-09-27 13:00:00,11739.0,13
14,4873942,UREC,14:00:00,63538,Monday,9,27,2021,2021-09-27 14:00:00,11172.0,14
15,5785562,UREC,15:00:00,76120,Monday,9,27,2021,2021-09-27 15:00:00,12582.0,15
16,6616293,UREC,16:00:00,89753,Monday,9,27,2021,2021-09-27 16:00:00,13633.0,16
17,7163674,UREC,17:00:00,101374,Monday,9,27,2021,2021-09-27 17:00:00,11621.0,17
18,7939811,UREC,18:00:00,116019,Monday,9,27,2021,2021-09-27 18:00:00,14645.0,18
19,8567380,UREC,19:00:00,129528,Monday,9,27,2021,2021-09-27 19:00:00,13509.0,19
20,9143473,UREC,20:00:00,145202,Monday,9,27,2021,2021-09-27 20:00:00,15674.0,20
21,9549813,UREC,21:00:00,159380,Monday,9,27,2021,2021-09-27 21:00:00,14178.0,21
22,9790249,UREC,22:00:00,170728,Monday,9,27,2021,2021-09-27 22:00:00,11348.0,22
23,9937820,UREC,23:00:00,176495,Monday,9,27,2021,2021-09-27 23:00:00,5767.0,23
