building,time,day_name,traffic_diff_1,traffic_diff_2,traffic_diff_avg,time_index
UREC,0:00:00,Tuesday,0,0,0,0
UREC,1:00:00,Tuesday,120,249,184.5,1
UREC,2:00:00,Tuesday,89,292,190.5,2
UREC,3:00:00,Tuesday,50,87,68.5,3
UREC,4:00:00,Tuesday,76,71,73.5,4
UREC,5:00:00,Tuesday,96,52,74,5
UREC,6:00:00,Tuesday,359,369,364,6
UREC,7:00:00,Tuesday,2263,2674,2468.5,7
UREC,8:00:00,Tuesday,4764,4548,4656,8
UREC,9:00:00,Tuesday,7004,6741,6872.5,9
UREC,10:00:00,Tuesday,9148,8089,8618.5,10
UREC,11:00:00,Tuesday,7389,6098,6743.5,11
UREC,12:00:00,Tuesday,12040,9730,10885,12
UREC,13:00:00,Tuesday,12012,11257,11634.5,13
UREC,14:00:00,Tuesday,9430,9346,9388,14
UREC,15:00:00,Tuesday,12516,12923,12719.5,15
UREC,16:00:00,Tuesday,12714,12627,12670.5,16
UREC,17:00:00,Tuesday,12724,12611,12667.5,17
UREC,18:00:00,Tuesday,14764,16013,15388.5,18
UREC,19:00:00,Tuesday,12003,14700,13351.5,19
UREC,20:00:00,Tuesday,13562,12241,12901.5,20
UREC,21:00:00,Tuesday,13182,14217,13699.5,21
UREC,22:00:00,Tuesday,9335,11032,10183.5,22
UREC,23:00:00,Tuesday,5245,5737,5491,23
Stu,0:00:00,Tuesday,0,0,0,0
Stu,1:00:00,Tuesday,375,881,628,1
Stu,2:00:00,Tuesday,99,545,322,2
Stu,3:00:00,Tuesday,166,336,251,3
Stu,4:00:00,Tuesday,76,190,133,4
Stu,5:00:00,Tuesday,41,130,85.5,5
Stu,6:00:00,Tuesday,250,496,373,6
Stu,7:00:00,Tuesday,786,1072,929,7
Stu,8:00:00,Tuesday,3776,3323,3549.5,8
Stu,9:00:00,Tuesday,11121,10342,10731.5,9
Stu,10:00:00,Tuesday,18558,16173,17365.5,10
Stu,11:00:00,Tuesday,11653,10354,11003.5,11
Stu,12:00:00,Tuesday,24834,21673,23253.5,12
Stu,13:00:00,Tuesday,26493,23292,24892.5,13
Stu,14:00:00,Tuesday,17450,14963,16206.5,14
Stu,15:00:00,Tuesday,26154,22926,24540,15
Stu,16:00:00,Tuesday,20701,19761,20231,16
Stu,17:00:00,Tuesday,14761,13588,14174.5,17
Stu,18:00:00,Tuesday,20780,17123,18951.5,18
Stu,19:00:00,Tuesday,12956,12713,12834.5,19
Stu,20:00:00,Tuesday,12214,10248,11231,20
Stu,21:00:00,Tuesday,8561,10179,9370,21
Stu,22:00:00,Tuesday,4849,5590,5219.5,22
Stu,23:00:00,Tuesday,3361,3109,3235,23
Atki,0:00:00,Tuesday,0,0,0,0
Atki,1:00:00,Tuesday,73,166,119.5,1
Atki,2:00:00,Tuesday,19,118,68.5,2
Atki,3:00:00,Tuesday,40,79,59.5,3
Atki,4:00:00,Tuesday,4,11,7.5,4
Atki,5:00:00,Tuesday,5,0,2.5,5
Atki,6:00:00,Tuesday,54,39,46.5,6
Atki,7:00:00,Tuesday,149,200,174.5,7
Atki,8:00:00,Tuesday,793,577,685,8
Atki,9:00:00,Tuesday,3135,3101,3118,9
Atki,10:00:00,Tuesday,8806,7141,7973.5,10
Atki,11:00:00,Tuesday,4202,3887,4044.5,11
Atki,12:00:00,Tuesday,12239,10540,11389.5,12
Atki,13:00:00,Tuesday,12806,11098,11952,13
Atki,14:00:00,Tuesday,6397,4847,5622,14
Atki,15:00:00,Tuesday,11895,10506,11200.5,15
Atki,16:00:00,Tuesday,10005,9167,9586,16
Atki,17:00:00,Tuesday,4084,3977,4030.5,17
Atki,18:00:00,Tuesday,7529,5183,6356,18
Atki,19:00:00,Tuesday,3565,3263,3414,19
Atki,20:00:00,Tuesday,2187,1757,1972,20
Atki,21:00:00,Tuesday,1324,1359,1341.5,21
Atki,22:00:00,Tuesday,821,843,832,22
Atki,23:00:00,Tuesday,418,604,511,23
Wood,0:00:00,Tuesday,0,0,0,0
Wood,1:00:00,Tuesday,339,465,402,1
Wood,2:00:00,Tuesday,240,403,321.5,2
Wood,3:00:00,Tuesday,240,373,306.5,3
